id;question;timestamp
205;Или личный кабинет открывать нужно специально дополнительно на сайте института???;2025-06-29 10:06:20
206;в 24г?;2025-06-29 11:16:53
207;Чем отличается прикладной искусственный интеллект бакалавриат от алгоритмов искусственного интеллекта?;2025-06-29 12:11:31
208;Учебный план не смотрела?;2025-06-29 12:21:12
209;здравствуйте! если студент не тянет программу по ии от ивт, то он может перейти на программу классического ивт?;2025-06-29 12:36:17
210;А программа по ивт с ИИ в этом году впервые будет?;2025-06-29 14:06:26
211;добрый день, сколько баллов нужно на платное очное на программную инженерию?;2025-06-29 14:28:39
212;Здравствуйте. Почему на сайте ИРИТ - РТФ указано 200 платных мест на Программную инженерию, а на госуслугах отображается всего 120 мест?;2025-06-29 15:21:23
213;Т е. буквально 40% платных мест уйдет в СПО? 😱;2025-06-29 15:31:17
214;Денис Сергеевич, прошу дать официальный ответ. Где это прописано?;2025-06-29 15:40:37
215;Здравствуйте. Если я выбираю целевое поступление в Вуз и не прохожу по конкурсу на место -то я уже не смогу подать заявление на бюджет?;2025-06-29 15:59:39
216;Здравствуйте, подскажите где будет встреча сегодня проходить?;2025-06-30 03:04:23
217;Здравствуйте, подскажите почему в списке поступающих горит только результат по информатике в колонке вступительные испытания, если мы сдавали егэ? Статус на рассмотрении, подорвали через госуслуги.;2025-06-30 03:12:52
218;Доброе утро. Подали документы на бюджет по пяти направлениям. Если не попадём ни по одному направлению на бюджет, есть ли возможность пойти на контракт? Что для этого надо и в какие сроки?;2025-06-30 04:24:47
219;Здравствуйте! Подал документы, но индивидуальные достижения не отображены. В чём проблема?;2025-06-30 04:52:38
220;На 2- 4 части за весь период обучения или год?;2025-06-30 04:58:36
221;"Куда прикреплять документы, которые свидетельствуют о том, что отец ребёнка — ветеран боевых действий Чечни, при зачислении в вуз? В раздел ""Справка об участии в СВО""  ?";2025-06-30 05:07:03
222;Телеграм канал приемной комиссии?;2025-06-30 05:30:01
223;Здравствуйте. Какое общежитие принадлежит ИРИТ РТФ?  И есть ли контакты к кому обращаться? или можно попробовать в любое общежитие написать заявление?;2025-06-30 05:34:38
224;На целевое прошёл или не прошел будет известно раньше???;2025-06-30 07:46:21
225;Здравствуйте, сегодня будет встреча с представителями программ с 11 до 15 где она будет проходить?;2025-06-30 07:49:28
226;Здравствуйте! А в приемную комиссию нужно есть с копиями всех перечисленных документов? Приписное тоже нужно копировать?;2025-06-30 07:52:39
227;Здравствуйте, где можно посмотреть список дисциплин на специальности «информационно-аналитические системы безопасности»? На какие из них больший упор? И в целом, как много выпускников работают по специальности и в каких компаниях? Аналогично интересуют «алгоритмы искусственного интеллекта» и «прикладной искусственный интеллект»;2025-06-30 09:25:43
228;А это где вы такую табличку для своего заявления сделали?;2025-06-30 10:07:18
229;а через сколько времени после подачи появляешься в списке?;2025-06-30 10:12:26
230;"Внести первую оплату...а если "" пролетишь""?";2025-06-30 10:38:15
231;Здравствуйте! Учёба будет в Новокольцовском?;2025-06-30 10:45:02
232;Хотелось бы узнать, если находимся в г. Первоуральск дадут общежитие?;2025-06-30 10:45:46
233;А можно ли будет в таком случае сменить общежитие?;2025-06-30 10:47:49
234;😊 Отсюда вопрос: действительно ли именно такое количество мест будет занято поступающими после СПО? Например на Пр.Инж.80 мест будет занято, т е. 40% от числа контрактных мест? Может сказать статистика статистика прошлых лет, что для прогноза на этот год конечно недостаточно, но хоть что-то. Видимо незаполненные места вернуться к поступающим по контракту.;2025-06-30 10:51:24
235;А сколько нужно после подачи заявления подождать, чтобы закончилось рассмотрение и появилось заявление на сайте?;2025-06-30 11:04:19
236;Здравствуйте! Как можно будет удостовериться, что дополнительные баллы за индивидуальные достижения засчитаны?;2025-06-30 11:25:28
237;Здравствуйте, хочу уточнить на счёт контрактного поступления. Если я выберу несколько направлений на контракт, то со всеми нужно заключить договор и внести оплату? И какой размер оплаты?;2025-06-30 11:38:50
238;Здравствуйте, можно ли подать и на бюджет, и на целевое одновременно?;2025-06-30 12:05:44
239;А как определяется работодатель при целевом обучение?;2025-06-30 12:10:57
240;Это всё выбирается в госуслугах? И выбираю сразу или после окончания учёбы?;2025-06-30 12:12:04
241;Здравствуйте! Хотелось бы узнать, если находимся в г. Первоуральск дадут общежитие в нкц?;2025-06-30 12:17:32
242;Время работы приёмной комиссии?;2025-06-30 12:49:34
243;Уточните пожалуйста. Если отец ветеран боевых действий ЧР 1996 года, то какие нибудь льготы для  поступающих есть?;2025-06-30 13:41:34
244;Здравствуйте, если поступать по бви (Призер по физике «Изумруд»), то будет повышенная стипендия первый семестр? У вас на сайте только про русский, математику и информатику написано.;2025-06-30 14:14:58
245;Добрый вечер, а нужно подгружать справку 086у при поступлении через гос услуги?;2025-06-30 15:36:22
246;"Добрый вечер.
Где-то есть расписание встреч с представителями направлений ИРИТ-РТФ? Дайте, пожалуйста, ссылку.";2025-06-30 17:09:53
247;Это на госуслугах? Спасибо;2025-06-30 17:53:22
248;Здравствуйте, где смотреть списки абитуриентов, которые поступают в ирит ртф?;2025-06-30 18:04:00
249;Добрый вечер! Если подаёшь заявление на гу, с применением справки отдельной квоты, галочку в окошке с отдельной квотой и основными местами два раза ставить( и там, и там)или допустимо выбрать что-то одно?;2025-06-30 18:13:04
250;Интересно, а фильтр по направлениям будет?;2025-06-30 18:22:59
251;Здравствуйте, а уже переехали в Кольцово или пока пары на мира будут?;2025-06-30 18:26:33
252;А в студ городок как часто нужно будет ездить?;2025-06-30 18:29:43
253;А их отфильтровать можно как-то?;2025-06-30 18:40:14
254;Здравствуйте! Подскажите, если например заключил договор и оплатил за «Программную инженерию», но не прошел по конкурсу и пролетел на второй приоритет, то тогда придётся заново заключать договор и заново оплачивать или оплату можно перенести на другую программу?;2025-07-01 04:50:19
255;Здравствуйте, можно узнать средний балл поступивших на программную инженерию в прошлом году?;2025-07-01 05:38:56
256;а сколько баллов по каждому из предметов?;2025-07-01 06:08:18
257;Добрый день. И оплатить тоже можно на ГУ? Пока там такой опции нет. Она появится?;2025-07-01 06:29:23
258;"Здравствуйте.
В воскресенье подали заявление через ГУ, до сих пор не появились в списке подавших документы. Такая большая задержка или мы что-то неверно заполнили?";2025-07-01 06:30:47
259;"Здравствуйте. Подскажите по поступлению в аспирантуру.
1) Документы подавать через гос. Услуги?
2) Что делать если на гос услугах не находит данные об образовании?
3) Если есть статьи, за которые можно получить доп баллы, как их указать?
Спасибо.";2025-07-01 10:16:37
260;Здравствуйте, есть ли информация о том, какие компании на 2025 год предлагают квоты на ИВТ?;2025-07-01 12:17:54
261;"А можно тогда вопрос по магистратуре, если ты уже студент магистр, но в академическом отпуске, то можно участвовать в конкурсе без отчисления? Попробовать перепоступить не забирая документы из вуза, что если не получиться поступить просто чтобы никак не сказалось на нынешнем обучении?


И если можно так сделать то как лучше подавать документы? Обязательно через гос. услуги или можно через лк абитуриента?";2025-07-01 12:35:50
262;Добрый день! Последний день когда можно поменять расстановку приоритетов на бюджет 25 июля? И на платное когда?;2025-07-01 13:01:45
263;Чем прикладной искусственный интеллект отличается от алгоритмов искусственного интеллекта?;2025-07-01 13:28:06
264;Вот и вопрос, по 25 июля включительно?;2025-07-01 13:32:33
265;"Здравствуйте, в какие дни заселение в общежития? Я смогу приехать в город только 15 августа.
Имеют ли приоритет те, кто подал раньше заявку? Корпус общежития можно выбрать или определяется рандомно?";2025-07-01 14:17:22
266;добрый день! можно узнать про подачу оригиналов, в какие сроки это происходит? обязательно ли чтобы сам абитуриент их подавал, и если такой возможности не будет может ли кто-то другой принести их?;2025-07-01 14:21:13
267;Что за группа жбк?;2025-07-01 14:23:16
268;После того, как абитуриент появился в приказе зачисленных 6 августа на бюджет, какие действия абитуриента?;2025-07-01 14:23:49
269;То есть не нужно приезжать в вуз до начала занятий и что то там подписать и пр.?;2025-07-01 14:24:52
270;А если нужно попасть в общежитие? Я уже совсем запутался 😭;2025-07-01 14:25:53
271;А если подумал и до 20 августа решил, что пойдет на платное на другую специальность, где на бюджет не прошел, а вот на платное прошел по конкурсу и заключил и оплатил договор?;2025-07-01 14:26:10
272;"Если не ошибаюсь, то в том году выкладывали списки по заселению в общежитие уже с назначенным ""адресом"" : номер общежития и номер комнаты?";2025-07-01 14:29:13
273;"То есть если приехали, грубо говоря не 26, а 28, то ""адрес"" сохраняется?";2025-07-01 14:30:39
274;"Я правильно понял?:
 я поступаю на прог инж Ирит РТФ на бюджет
6 числа вижу себя в списках
Дальше жду какую то информацию по поводу общежития?";2025-07-01 14:31:02
275;А выбрать соседа или корпус общежития невозможно?;2025-07-01 14:31:46
276;Дальники это кто? Дальний Восток? Дочь с Алтайского края, мы дальники?;2025-07-01 14:32:18
277;Видел в новостях, что планируется переезд Института в новый корпус, это так? Какие сроки?;2025-07-01 14:51:04
278;сколько примерно обрабатывается заявление с госуслуг?;2025-07-01 15:32:17
279;Здравствуйте! Есть ли глобальные различия подачи документов через госуслуги и личный кабинет абитуриента?;2025-07-01 15:36:04
280;Здравствуйте, подскажите пожалуйста, конкурсные списки на Госуслугах и в личном кабинете УрФУ одинаковые ведь?;2025-07-01 17:36:36
281;Здравствуйте, а мы можем подать на 5 направлений в матмехе и на 5 в ирит ртф?;2025-07-01 17:57:19
282;я на 6 программ смог отправить... может такое быть или система не допустила бы?;2025-07-01 18:00:58
283;Здравствуйте! А сделают до 26 июля списки поступающих, отфильтрованные по направлениям?;2025-07-01 18:28:03
284;можете примерно написать?;2025-07-01 18:52:21
285;Уже подал заявление, но вспомнил что могу получить +4 балла за изумруд. Можно же подредактировать и добавить сертификат?;2025-07-01 19:08:11
286;Здравствуйте, мы будем пересдавать один экзамен, успеваем ли мы подать документы? Результат обещают до 17.07;2025-07-02 01:58:46
287;Какие были проходные баллы на контракт в прошлом году?;2025-07-02 01:59:55
288;Если я подаю документы в УрФу, то я могу выбрать суммарно только 5 направлений (контракт и бюджет)? То есть, если я подают на мат-тех и Ирит-Ртф это будет общая сумма направлений, всего 5?;2025-07-02 02:02:52
289;Сроки подачи документов по результатам ЕГЭ?;2025-07-02 02:29:49
290;Добрый день, нужно ли предоставлять свидетельство ИНН при подаче документов на бюджет?;2025-07-02 04:53:41
291;То есть правильнее ориентироваться на первую дату,  5 августа? И если не прошел на бюджет 5 августа, то уже точно модешь рассчитывать только на платное. Так, да?;2025-07-02 05:24:54
292;Добрый день, а где можно найти информацию о различиях программ по направлениям?;2025-07-02 05:49:33
293;Здравствуйте, еще вопрос по общежитию, а когда примерно скажут что оно предоставлено и нужно идти оформляться? Просто я иногородний, вдруг меня зачислят но скажут что общежитие не дали;2025-07-02 06:16:26
294;Здравствуйте, известно ли какого числа начинается медкомиссия перед заселением в общежитие?;2025-07-02 06:31:29
295;Добрый день! Подскажите, если подовали документы через госуслуги, то можно будет согласие на зачисление принести в институт лично, или если подовал заявление через госуслуги, то и согласие на зачисление через госуслуги?;2025-07-02 06:41:03
296;Сколько дают баллов за золотую медаль, дают ли вообще за нее?;2025-07-02 06:49:31
297;Подскажите, а есть ли разница как подовать документы надёжнее, через госуслуги или лично в институт? Те кто подал через госуслуги и лично и через личный кабинет они все в одном списке и имеют равные шансы  или списки разные?;2025-07-02 07:02:18
298;А где мне взять документы, которые прикреплять, если я участвовал в измруде?;2025-07-02 07:51:40
299;Справку 086 нужно по месту жительства делать, с ней быстрее пройти у вас медкомиссию?;2025-07-02 08:21:01
300;Добрый день! Какой предмет первый в приоритете на специальность информационно- аналитические системы безопасности? Если у двух абитуриентов одинаковый суммарный балл за егэ?;2025-07-02 08:34:21
301;Добрый день. Вопрос про общежитие. Если запланирована поездка с середины августа до середины сентября, будет ли сложность с заселением?;2025-07-02 08:55:12
302;И о каком терапевте речь, если студент из другого края? Врач при общежитии имеется ввиду или в обычной поликлинике там у вас? Как пройти всех в день заселения?;2025-07-02 08:58:22
303;"Здравствуйте, вы можете сказать какой был средний балл поступивших на бюджет по программе ""Радиоэлектронные системы и комплексы"" в 2024 году ?";2025-07-02 09:03:59
304;Как через Госуслуги портфолио прикрепить?;2025-07-02 09:10:22
305;"Здравствуйте, если я поступлю учиться в  УРФУ на направления где принимают из ЕГЭ русский, проф. математика, химия/биология 
смогу ли я перевестись к вам на прикладную информатику?";2025-07-02 09:12:55
306;Зачем? Его никто не смотрит;2025-07-02 09:20:31
307;Здравствуйте. Как подтвердить участие в олимпиаде изумруд, если подаю документы лично в вуз? Распечатать сертификат?;2025-07-02 09:21:23
308;А где именно на сайте можно посмотреть минимальные баллы Ирит-Ртф для контракта?;2025-07-02 09:24:27
309;почему не зашли олимпиаду изумруд участник в инд достижениях?;2025-07-02 09:29:15
310;а до скольки работает стенд ИРИТа?;2025-07-02 10:35:20
311;Это откуда фото?;2025-07-02 11:36:06
312;Блин, а полная презентация есть у кого?;2025-07-02 11:38:02
313;Здравствуйте. А как вы подтверждали участие? Сертификат печатали?;2025-07-02 11:42:46
314;Это много?;2025-07-02 12:09:25
315;"Здравствуйте, сколько баллов нужно для скидки на контрактное обучение по направлению ""программная инженерия""?";2025-07-02 12:12:11
316;А сколько составляет скидка?;2025-07-02 13:08:14
317;Здесь написано про средний балл оценок. А где они отображаются? На госуслугах только номер атестта. Или их нужно было подгружать на госуслуги или они там где-то есть?;2025-07-02 13:09:18
318;Медицинская справка нужна при подаче документов?;2025-07-02 13:20:06
319;Здравствуйте, что нужно прикрепить на госуслугах, чтобы подтвердить участие в региональном этапе ВсОШ?;2025-07-02 14:16:29
320;Добрый вечер! Стоит ли при поступлении на техническую специальность прикреплять дипломы о призовом месте в ВсОШ по английскому языку? Или приветствуются только профильные дисциплины?;2025-07-02 15:00:50
321;Здравствуйте! Хотел бы узнать, с какими языками программирования и фреймворками вы работаете на курсе прикладной информатики?;2025-07-02 15:16:07
322;Вновь здравствуйте, еще один вопрос. При прикреплении фото, какие к нему требования? Подойдет ли фото трехлетней давности?;2025-07-02 17:10:15
323;Хорошо, у меня ещё вопрос по этой теме: Можно ли фото прикрепить позже? Т.е. подать заявление в вуз и уже потом добавить фото? Извините за такой поздний и странный вопрос);2025-07-02 17:18:53
324;Сориентируйте, при загрузке аттестата , надо ли загружать вкладыш с оценками?;2025-07-02 17:59:26
325;Если документы в вуз подавали вживую, то можно будет заявление на зачисление заполнить онлайн?;2025-07-02 18:24:43
326;Куда загружать аттестат? Про это на госуслугах ничего не написано, просят только номер аттестата ввести.;2025-07-02 18:36:19
327;Кто нибудь загружал аттестат включая вкладыш с оценками?;2025-07-02 18:37:00
328;Спасибо! Правильно понимаю, что хоть и подовали заявление через госуслуги, но нужно ещё завести личный кабинет на сайте Урфу и подгрузить туда копии всех перечисленных документов?;2025-07-03 01:37:28
329;"Здравствуйте, я гражданин Таджикистана, подал заявление о поступлении через гос услуги и через личный кабинет, загрузив все документы. Статус заявления сейчас ""ждём результатов испытания"" . Я хотел уточнить, когда будет список испытаний ?";2025-07-03 02:35:37
330;Доброе утро!! Возможно прикрепить фото, к уже отправленному заявлению через ГУ? Как то мы этот момент пропустили….;2025-07-03 05:55:54
331;Здравствуйте, если подавали заявление через госуслуги, нужно ли заполнять все данные в личном кабинете, прикреплять все документы? на Госуслугах статус заявления - ожидаются результаты испытаний, что это значит?;2025-07-03 06:14:01
332;Ааа,понятно. А какой надо выбрать?;2025-07-03 06:40:27
333;"Здравствуйте, вопрос не относится к ИРИТ-РТФ, но не знаю куда его можно задать) 
Подскажите, как подтверждается золотая медаль на госуслугах, не могу найти?";2025-07-03 06:54:18
334;Добрый день! Подскажите, кто то уже писал вступительный экзамен «информационные технологии и сервисы»?;2025-07-03 06:56:06
335;Здравствуйте. Вопросы по ГТО. Если школьник сдаст ГТО 6.08.25, будет ли учитываться этот результат при подаче документов летом 2026? Учитывается только золотой знак?;2025-07-03 07:57:16
336;В списках подавших документы отсутствуют сведения об аттестате с отличием и об участии в олимпиаде Изумруд, на госуслугах данные отображены. Когда данные обновятся в списках?;2025-07-03 08:03:57
337;?;2025-07-03 09:13:42
338;Здравствуйте, подскажите когда примерно будут рейтинговые списки по  вашему институт?;2025-07-03 12:34:19
339;ВИ на бакалавриат в Ирит Ртф только для иностранных поступающих ?;2025-07-03 12:52:10
340;Здравствуйте, а где через госуслуги можно поменять формат сдачи внутреннего экзамена (с заочного на очный в университете)?;2025-07-03 12:54:29
341;"Для высокобалльников и топов бюджетного списка  приоритет в новые общаги?
После переезда в новый корпус института возможно ли что всех переведут в новые общаги?";2025-07-03 12:57:54
342;У кого тоже все еще аттестат не подтвердили на госуслугах?;2025-07-03 13:01:06
343;Само подгружалось?;2025-07-03 15:32:25
344;А вы что подгружали про ГТО? УИН или приказ о присвоении?;2025-07-03 16:51:32
345;Здравствуйте! Подскажите, есть ли демо-версии вступительных испытаний по 2.09.04.01, кроме того pdf файла с 38 вопросами? Не смог найти информацию. Исходя из того, что смог найти, как будто-бы есть, но не могу понять где их можно найти.;2025-07-04 02:57:58
346;На Госуслугах если подали заявление только в один ваш Вуз.Другие Вузы еще изучаем.А если уже будет статус в Госуслугах -Участвует в конкурсе?То уже нельзя будет в это заявление добавить оставшиеся 4 Вуза?;2025-07-04 06:06:44
347;"Здравствуйте. У нас уже несколько дней висит статус ""на рассмотрении"" Говорили о 2,5 днях. Сейчас  снова нужно потерпеть? Сколько ещё?";2025-07-04 07:27:42
348;ручные олимпиады пока ждём, верно?;2025-07-04 07:39:56
349;"Даже те, у кого статус ""Участвует в конкурсе""?";2025-07-04 07:42:32
350;"""участвует в конкурсе"" значит зачислен в списки?";2025-07-04 07:56:11
351;а как они это делают?;2025-07-04 08:05:45
352;"Здравствуйте, а если на госуслгах сначала ""Диплом о среднем профессиональном образовании"" был не подтверждён, а потом подтвердился. Как я понимаю мне не о чем беспокоиться?";2025-07-04 08:13:50
353;Поняла. а до какой даты можно заключить договор?;2025-07-04 08:14:51
354;Здравствуйте, почему на сайте ирит разместили большее количество мест, чем на госуслугах?;2025-07-04 09:01:47
355;Добрый день! Является ли обязательным условием участия в конкурсе на платные места заключение договора и внесение оплаты? У многих вузов срок заключения договоров - конец августа. Если заключение договоров в УрФУ до 5 сентября, то когда будут известны результаты конкурса и студенты приступают к обучению?;2025-07-04 09:03:08
356;Спасибо за ответ. Это означает, что поступающий с более высоким баллом, заключивший договор 5-8 сентября может вытеснить из конкурса другого? Как в этом случае? Возвращаются деньги и выбывший остаётся без места или он может участвовать в конкурсе по другой программе в соответствии с приоритетами?;2025-07-04 09:14:14
357;Спасибо. А есть ли примерные цифры проходного балла на платное обучение по программам вашего института?;2025-07-04 09:20:56
358;"@den757 
добрый день
подскажите, гто сдан
на руках есть приказ о присвоении золотого значка. на сайте гто по уин все есть
но удостоверение в область еще не пришло, и госуслуги по уин ничего не находят

при подаче документов через ГУ прикреплять сам приказ ?";2025-07-04 09:22:04
359;Подали документы 30, на ГУ статус на рассмотрении, в личном кабинете - участвует в конкурсе, но нет баллов за участие в Изумруде и книжку волонтёра. Ещё ожидать?;2025-07-04 09:32:11
360;Здравствуйте, подал заявление через госуслуги на 4 направления, можно ли добавить ещё одно направление после подачи заявления через те же гос услуги? Если да, то как, не могу найти;2025-07-04 10:19:29
361;здравствуйте, можно ли поступить на программную инженерию, прикладную информатику или ИВТ по вступительным экзаменам, а не баллам ЕГЭ после 11 класса гражданину РФ?;2025-07-04 11:07:25
362;Здравствуйте, какой был минимальный балл по радиотехники в 2024 году?;2025-07-04 12:40:53
363;Подскажите пожалуйста, если сейчас подали заявление  на 5 специальностей на бюджет и вдруг не пройдём, то можно будет потом заключить контракт? Или нужно сразу до 25.07 контракт тоже ставить галочку на госуслугах?;2025-07-04 13:03:17
364;Здравствуйте, подал документы через госуслуги и вуз сам назначил даты проведения вступительных испытаний. Мне необходимо сдать их именно в эти дни? Или возможно в любой день до 25?;2025-07-04 14:46:42
365;"Добрый день! Что нужно подгружать в индивидуальные достижения для получения доп. баллов за участие в финале ""изумруда""?";2025-07-04 16:19:50
366;Пожалуйста, Можно подробнее? Представим худшее, не прошли по конкурсу на бюджет и в списках отсутствует абитуриент 06.08. Можно будет после этого подавать на платное обучение , те в течение августа? Или это надо делать заранее? Если заранее , то какие предельные сроки по подаче заявление на платное обучение ?;2025-07-04 16:56:16
367;"Здравствуйте, а получается те списки, которые вы говорили будут опубликованы до 15.07 - это и есть ""зелёные списки"" ?";2025-07-04 18:07:35
368;Здравствуйте,хотел спросить,18-го числа уже дедлайн и пройти регистрацию на поступление уже не получится правильно?;2025-07-04 18:13:05
369;Это будет же после рассмотрения заявления?;2025-07-05 05:25:58
370;Я Гражданин Азербайджана,я могу поступить без экзаменов?;2025-07-05 05:56:41
