id;message_id;question_text;bot_answer;feedback;user_id;timestamp
48;2234;Здравствуйте! Хотел на этой неделе приехать подать документы. Есть несколько вопросов. Подскажите, пожалуйста, если ещё нет аттестата, можно ли подать документы в вуз? В каком виде нужно предоставить достижения (можно ли в виде копий)?  Если мне нет 18 лет, могу ли я подать документы в вуз очно без родителей?;"Здравствуйте!

Для подачи документов в УрФУ наличие аттестата обязательно. Аттестат должен быть предоставлен в виде копии, при этом нотариальное заверение копий не требуется.

Вы можете подать документы лично, даже если вам ещё нет 18 лет. Однако для подачи документов через личный кабинет потребуется согласие родителей или законных представителей. При подаче документов на бюджет или контрактное обучение через Госуслуги достаточно электронного согласия.

Если у вас возникнут дополнительные вопросы, обращайтесь!";👍;5878902211;2025-06-25 06:40:43
49;2241;Добрый день. Если подавать документы нужно только через Госуслуги, нужно ли создавать ЛК абитуриента на сайте вуза?;Нет, при подаче документов через Госуслуги личный кабинет абитуриента создавать не нужно. Однако личный кабинет потребуется при личной или почтовой подаче документов.;👍;5878902211;2025-06-25 06:41:26
50;2270;Здравствуйте, я могу подать документы на 5 факультетов в РТФ и на 5 факультетов в ИНМИТ или только в один из вузов  в составе УРФУ?;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👎;929358620;2025-06-25 08:53:35
51;2288;А какие именно там критерии отбора?;"Критерии отбора в ИРИТ-РТФ УрФУ включают:

1. Результаты ЕГЭ: для поступления необходимо сдать экзамены по русскому языку, математике (профильный уровень) и информатике или физике в зависимости от выбранного направления.
2. Сумма баллов по обязательным предметам: рейтинг абитуриентов формируется по сумме баллов ЕГЭ.
3. Дополнительные баллы за индивидуальные достижения: можно получить дополнительные баллы за участие и победы в олимпиадах, волонтёрство, золотой знак ГТО, спортивные достижения, военную службу и другие заслуги.
4. Целевое обучение: отдельный конкурс для поступающих по целевому направлению, необходимо подать документы через Госуслуги и пройти собеседование.
5. Особые и отдельные квоты: 10% мест выделены для поступающих с особыми правами (инвалиды, сироты и др.) и других категорий, перечисленных в правилах приёма.
6. Преимущественное право зачисления: у социально незащищённых категорий (сироты, инвалиды и др.).";👍;430479419;2025-06-25 11:22:55
52;2291;Добрый вечер! Подскажите, пожалуйста, нужно ли будет предоставить справку с места жительства и по какой форме?;"Этот вопрос не относится к деталям по направлениям ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Для поступления в ИРИТ-РТФ вам необходимо предоставить следующие документы: паспорт, аттестат/диплом, СНИЛС (если есть), подтверждения достижений/льгот. Для юношей также требуется приписное/военный билет. Нотариальное заверение копий не требуется. Медсправка 086-У нужна только для ряда направлений, которые вы сможете найти на официальном сайте. Подавать оригиналы документов не нужно, при подаче на бюджет или контрактное обучение достаточно электронного согласия на Госуслугах.";👎;1377849107;2025-06-25 12:08:25
53;2296;Здравствуйте, хотел бы узнать, чем отличаются программная инженерия и прикладная информатика?;"Здравствуйте!

09.03.04 «Программная инженерия» — флагманская программа бакалавриата ИРИТ-РТФ, которая готовит универсальных ИТ-специалистов, понимающих все этапы создания программного обеспечения: от кода и дизайна до юридических аспектов и ГОСТов. Программный инженер — это специалист, задействованный на всех этапах разработки: от анализа требований до внедрения, тестирования и поддержки. Программа учитывает все профессиональные требования: в неё входят как базовые языки программирования (C#, Java, C++, Python), так и специализированные. Студенты обучаются по системе индивидуальных образовательных траекторий и могут познакомиться со спецификой различных профессий, выбрав наиболее подходящий трек подготовки.

09.03.03 «Прикладная информатика» готовит специалистов, способных применять прикладные ИТ-решения для задач науки и бизнеса. Обучение охватывает технические дисциплины, экономику, дизайн и гуманитарные науки, что обеспечивает универсальность подготовки. Студенты осваивают навыки разработки, моделирования и анализа данных, а также внедрения и сопровождения информационных систем. Выпускники востребованы в IT-компаниях, исследовательских организациях и могут создавать собственные проекты и стартапы.

Оба направления предоставляют широкие возможности для карьерного роста, но выбор между ними зависит от ваших интересов и целей: если вас привлекает разработка программного обеспечения на всех этапах, то программная инженерия может быть лучшим выбором. Если же вы хотите применять ИТ-решения в различных областях и обладаете универсальными навыками, то прикладная информатика может быть более подходящим вариантом.";👍;919806478;2025-06-25 15:27:32
54;2301;Добрый вечер! Здесь информация этого года? https://web.archive.org/web/20240718140144/https://urfu.ru/ru/ratings/#342334738;"Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Если вас интересует поступление на одно из этих направлений, я с радостью предоставлю вам всю необходимую информацию.";👍;803035807;2025-06-25 17:10:35
55;2307;Здравствуйте! Какие отличия в программах 10.05.02 и 10.05.04?;"Здравствуйте!

10.05.02 «Информационная безопасность телекоммуникационных систем» готовит специалистов, которые обеспечивают защиту телекоммуникационных систем от современных кибератак. Обучение охватывает криптографию, стеганографию, этичный хакинг, цифровую криминалистику, защиту данных в центрах обработки и облачных вычислениях, а также безопасность компьютерных сетей. Студенты изучают технические средства и системы передачи информации через проводные, радиоканалы, оптику и другие каналы связи.

10.05.04 «Информационно-аналитические системы безопасности» направлена на подготовку специалистов в области информационной безопасности и финансовой разведки для национальных и международных систем противодействия легализации преступных доходов и финансированию терроризма. Обучение включает углублённое изучение математики, системного анализа, современных методов анализа данных, программирования и информационных технологий. Студенты получают практические навыки в анализе экономической и финансовой информации, изучают разработку, эксплуатацию и защиту аналитических и мониторинговых систем безопасности, управление событиями ИБ и выявление инцидентов в реальном времени. Отдельное внимание уделяется изучению иностранных языков.

Оба направления имеют свои особенности и акценты в обучении, поэтому выбор между ними зависит от ваших интересов и карьерных целей в области информационной безопасности.";👍;1770546442;2025-06-25 17:15:13
56;2300;Здравствуйте, а тем кто на платное обучение поступает предоставляется общежитие и есть ли военная кафедра?;"Да, иногородним студентам, обучающимся на контрактной основе, предоставляется общежитие в студиях на двоих в Новокольцово. Место закрепляется на весь срок обучения.

Также в УрФУ есть военный учебный центр (ВУЦ), где можно обучаться с четвёртого семестра и получить звание офицера запаса.";👍;1117509478;2025-06-25 17:26:24
57;2315;Доброе утрр! Где можно увидеть списки подавших документы на поступление?;Списки подавших документы на поступление не публикуются. Вы можете отслеживать статус рассмотрения ваших документов в личном кабинете на сайте УрФУ.;👎;1529847894;2025-06-26 03:29:18
58;2330;Добрый день. Подскажите пожалуйста, призерство и участие в региональном этапе ВсОШ по технологии будет давать дополнительные для поступления в ИРИТ?;Дополнительные баллы начисляются только за определённые достижения, перечисленные в правилах приёма. Призерство и участие в региональном этапе Всероссийской олимпиады школьников (ВсОШ) по технологии не входит в список учитываемых индивидуальных достижений для поступления в ИРИТ-РТФ УрФУ.;👍;927653800;2025-06-26 07:51:07
59;2340;Сколько всего общежитий? Они распределяются случайным образом?;"Этот вопрос не относится к направлениям ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Студенты ИРИТ-РТФ могут проживать в общежитии в студиях на двоих в Новокольцово. Место в общежитии закрепляется на весь срок обучения. Совместное проживание возможно только для официальных супругов (по свидетельству о браке). Заселение с другом или одноклассником возможно через обращение к ответственным после публикации списков. Индивидуальное проживание возможно при наличии свободных мест — уточняется в деканате или жилищной комиссии.";👎;5459234049;2025-06-26 10:11:53
60;2334;Можно ли одновременно подавать документы на бюджет и целевое обучение?;Да, можно подавать документы на бюджет и целевое обучение одновременно, так как конкурс на целевые места проводится отдельно. Для поступления по целевому обучению необходимо подать документы через Госуслуги и пройти собеседование.;👍;1652492951;2025-06-26 12:38:09
61;2335;Т.е. это ни о чем на данный момент не говорит, т к. все будет зависеть от количества поданных заявлений и в последствии согласий? Т.е. это нижний порог в моменте, который дальше будет меняться только вверх. Правильно?;"Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Если у вас есть вопросы о поступлении на одно из этих направлений, буду рад ответить.";👍;927653800;2025-06-26 17:54:08
62;2336;Здравствуйте, а если ты проживаешь в Екатеринбурге, то можно ли рассчитывать на место в общежитии в НВК?;Место в общежитии закрепляется на весь срок обучения, однако общежитие в основном предоставляется иногородним студентам. Возможность проживания в общежитии для жителей Екатеринбурга зависит от наличия свободных мест и определяется жилищной комиссией или деканатом.;👍;927653800;2025-06-26 17:54:10
63;2341;А где именно на сайте  появились минимальные баллы?;Минимальные баллы для поступления в ИРИТ-РТФ УрФУ можно найти в разделе, где публикуются правила приёма. Также информация о минимальных баллах доступна в личном кабинете на сайте УрФУ.;👍;927653800;2025-06-26 17:54:19
64;2380;я так понял, это без пересадок. часто ходят? сколько ехать примерно?;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👍;927653800;2025-06-26 18:24:19
65;2378;Подскажите, а как осуществляется перемещение студентов от общежития в Новокольцовском? На картах вижу только маршрут с пересадками, хотя сами студенты говорили про один автобус, который ходит туда и обратно;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👍;927653800;2025-06-26 18:24:27
66;2410;Что представляют из себя траектории?;Траектории обучения в ИРИТ-РТФ УрФУ — это индивидуальные пути получения образования, которые позволяют студентам адаптировать свой учебный план под личные интересы и карьерные цели. Например, в программе «Информатика и вычислительная техника» студенты могут выбирать различные направления в области ИТ, а в программе «Прикладной искусственный интеллект» есть возможность освоить дополнительный язык программирования (C#, JavaScript, TypeScript, Java, C++ и др.). Это обеспечивает универсальность подготовки и повышает востребованность выпускников на рынке труда.;👍;803035807;2025-06-27 04:38:49
67;2412;Добрый день, Денис Сергеевич!Подскажите пожалуйста, куда обратиться за такой  справкой? Не много не поняла трактование статьи, хотелось бы уточнить попадаем под такую льготу или нет!;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👍;457713197;2025-06-27 05:48:02
68;2421;добрый день. за участие в изумруде и физтурнире баллы складываются или засчитывается только что-то одно?;Дополнительные баллы начисляются только за разные мероприятия. Таким образом, если вы участвуете в олимпиаде «Изумруд» и в «Физтурнире», то баллы будут суммироваться, но только при условии, что это разные события.;👍;5244140202;2025-06-27 11:20:20
69;2457;Здравствуйте, разве существует согласие на контракт? Судя по правилам приема, аналогом согласия является оплата по договору.;Для поступления на контрактное обучение в ИРИТ-РТФ УрФУ необходимо выразить согласие через Госуслуги, как и при поступлении на бюджет. После заключения договора оплата производится согласно условиям контракта.;👎;777668262;2025-06-27 15:23:11
70;2455;"Здравствуйте! При расставлении приоритетов возможно ли ""разорвать"" программы из одного направления или же программы одного направления должны идти подряд? 
Например, возможно ли на 2 место поставить 09.03.03 прикладной искусственный интеллект, а 09.03.03 прикладная информатика на 4 место?";Да, вы можете расставить приоритеты в любом порядке, не обязательно размещать программы из одного направления подряд. Вы можете указать разные приоритеты для программ в рамках одного направления, например, поставить «Прикладной искусственный интеллект» на второе место, а «Прикладную информатику» на четвёртое. Изменить приоритеты можно до окончания приёма документов, оформив новый «Лист участника конкурса».;👍;1515897097;2025-06-27 15:23:50
71;2481;Здравствуйте, когда необходимо подавать оригиналы документов в вуз после оглашения списков? Когда в целом появятся списки зачисленных?;"Подавать оригиналы документов не нужно, при подаче на бюджет или контрактное обучение достаточно электронного согласия на Госуслугах.

Списки зачисленных появятся после завершения всех этапов конкурсного отбора. Для получения более точной информации о сроках рекомендуем обратиться в приёмную комиссию ИРИТ-РТФ УрФУ по адресу: Екатеринбург, ул. Мира, 19, или через телеграм-канал и соцсети.";👍;929358620;2025-06-27 20:35:48
72;2487;Согласие на зачисление можно предоставить дистанционно?;Да, согласие на зачисление можно предоставить дистанционно через Госуслуги.;👍;929358620;2025-06-27 21:12:27
73;2489;Здравствуйте. Я правильно понимаю, что до 25 июля можно менять в заявлении институты, профили и приоритеты?;Да, вы правильно понимаете. До окончания срока приёма документов вы можете менять приоритеты, указанные в заявлении, а также направления в пределах УрФУ, в том числе и в ИРИТ-РТФ. Для этого нужно оформить новый «Лист участника конкурса».;👍;1042500699;2025-06-28 04:38:03
74;2484;Если я правильно понял, то после окончания приема я остаюсь в списках, то мне надо принести только согласие? Всё?;Да, после окончания приёма документов вам нужно будет предоставить электронное согласие на зачисление через Госуслуги. При подаче на бюджет или контрактное обучение этого будет достаточно, подавать оригиналы документов не нужно.;👍;5878902211;2025-06-28 10:20:37
75;2491;Здравствуйте, а если нам аттестат выдают только 5 июля, а мы хотим приехать во вторник, можно ли без аттестата подать документы?;Для подачи документов на поступление в ИРИТ-РТФ УрФУ аттестат необходим. Однако подавать оригиналы документов не нужно, достаточно предоставить электронные копии через Госуслуги или в личном кабинете УрФУ. Если аттестат будет получен после начала приёма документов, вы сможете загрузить его копию в личный кабинет позже, но важно уложиться в сроки подачи документов.;👍;5878902211;2025-06-28 10:21:22
76;2525;Денис Сергеевич здравствуйте! Заполнили заявление на госуслугах, где выбор аттестата указали ,,о среднем общем образовании,, - так написано в аттестате. Скажите пожалуйста это правильно или должно быть среднем (полном) образовании?;"Этот вопрос не относится к направлениям ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ. 

Если у вас есть вопросы по поступлению на наши направления, буду рад ответить.";👎;5410584619;2025-06-28 12:36:31
77;2547;"Добрый день, подскажите, чем отличаются программы ""Программная инженерия"" и ""Прикладная информатика""?";"Программа «Программная инженерия» готовит универсальных ИТ-специалистов, которые понимают все этапы создания программного обеспечения: от анализа требований и написания кода до дизайна, внедрения, тестирования и поддержки. Студенты обучаются по системе индивидуальных образовательных траекторий и знакомятся со спецификой различных профессий в области ИТ. В программу входят базовые и специализированные языки программирования, такие как C#, Java, C++, Python.

Программа «Прикладная информатика» готовит специалистов, способных применять прикладные ИТ-решения для задач науки и бизнеса. Обучение охватывает технические дисциплины, экономику, дизайн и гуманитарные науки, что обеспечивает универсальность подготовки. Студенты осваивают навыки разработки, моделирования и анализа данных, а также внедрения и сопровождения информационных систем. Выпускники востребованы в IT-компаниях, исследовательских организациях и могут создавать собственные проекты и стартапы.";👍;430479419;2025-06-28 18:07:04
78;2535;Здравствуйте, какие льготы предоставляются детям ветеранов боевых действий в Чечне?;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👍;926065101;2025-06-28 18:32:17
79;2549;"Есть ли отличия в программах ""Информатика и вычислительная техника"", ""Прикладная информатика"" и ""Программная инженерия""?";"Да, программы «Информатика и вычислительная техника», «Прикладная информатика» и «Программная инженерия» имеют отличия.

09.03.01 «Информатика и вычислительная техника»
Программа сочетает изучение аппаратного и программного обеспечения информационных систем. Студенты получают комплексную подготовку в области архитектуры компьютеров, операционных систем, языков программирования и информационных потоков. Обучение направлено на разработку и сопровождение информационных систем и умных устройств на всех этапах их жизненного цикла.

09.03.03 «Прикладная информатика»
Программа готовит специалистов, способных применять прикладные ИТ-решения для задач науки и бизнеса. Обучение охватывает технические дисциплины, экономику, дизайн и гуманитарные науки, что обеспечивает универсальность подготовки. Студенты осваивают навыки разработки, моделирования и анализа данных, а также внедрения и сопровождения информационных систем.

09.03.04 «Программная инженерия»
«Программная инженерия» — флагманская программа бакалавриата ИРИТ-РТФ, готовящая универсальных ИТ-специалистов, которые понимают все этапы создания ПО: от кода и дизайна до юридических аспектов и ГОСТов. Программный инженер — не просто программист, а специалист, задействованный на всех этапах разработки: от анализа требований до внедрения, тестирования и поддержки. Программа учитывает все профессиональные требования: в неё входят как базовые языки программирования (C#, Java, C++, Python), так и специализированные. Студенты обучаются по системе индивидуальных образовательных траекторий и в течение всего периода обучения могут познакомиться со спецификой той или иной профессии, выбрать наиболее подходящий трек подготовки.";👍;5950383242;2025-06-28 18:37:53
80;2551;Здравствуйте! А где можно посмотреть учебный план ИВТ программы Алгоритмы искусственного интеллекта и сильно оно отличается от классического ИВТ?;"Здравствуйте! Учебный план программы «Алгоритмы искусственного интеллекта» направления «Информатика и вычислительная техника» вы можете найти на официальном сайте ИРИТ-РТФ УрФУ. 

Программа «Алгоритмы искусственного интеллекта» отличается от классического направления «Информатика и вычислительная техника» тем, что она готовит специалистов, владеющих современными методами машинного обучения, компьютерного зрения и обработки естественного языка. Студенты изучают ключевые алгоритмы и технологии ИИ, включая чат-боты и генерацию изображений, которые позволяют создавать интеллектуальные системы, выполняющие творческие задачи. Выпускники востребованы в различных сферах: промышленности, банковском деле, медицине, образовании и науке. Программа открывает широкие карьерные возможности в условиях быстрого развития технологий искусственного интеллекта.";👍;927653800;2025-06-28 19:20:06
81;2552;такой же вопрос по прикладной информатике и ее программе, связанной с ии?;"09.03.03 «Прикладная информатика»

Программа готовит специалистов, способных применять прикладные ИТ-решения для задач науки и бизнеса. Обучение охватывает технические дисциплины, экономику, дизайн и гуманитарные науки, что обеспечивает универсальность подготовки. Студенты осваивают навыки разработки, моделирования и анализа данных, а также внедрения и сопровождения информационных систем. Выпускники востребованы в IT-компаниях, исследовательских организациях и могут создавать собственные проекты и стартапы.

09.03.03 «Прикладной искусственный интеллект»

Эта программа готовит специалистов по созданию интеллектуальных систем, способных принимать решения, обучаться и оптимизировать работу. Студенты изучают алгоритмы, структуры данных, программирование на Python, основы статистики и математического моделирования. Особое внимание уделяется разработке рекомендательных систем и анализу больших данных. Программа реализуется в партнёрстве с крупной российской IT-компанией VK и ориентирована на практическую работу с реальными задачами в сфере ИИ и машинного обучения. Благодаря индивидуальным образовательным траекториям студенты могут освоить дополнительный язык программирования (C#, JavaScript, TypeScript, Java, C++ и др.).

Если у вас есть дополнительные вопросы по этим направлениям, я буду рад на них ответить.";👍;713419576;2025-06-28 19:22:33
82;2595;в 24г?;"Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Если вас интересует поступление на одно из этих направлений, я могу предоставить подробную информацию о проходных баллах, количестве бюджетных и контрактных мест, а также условиях поступления.";👍;1926005501;2025-06-29 11:47:25
83;2585;"1)Если сдавал физику и дополнительно информатику, в зачёт пойдет результат  экзамена с большим баллом? 
2) подал заявления через госуслуги, 3 июля пересдаю информатику (набрал больше минималки, но верю, что могу лучше). Автоматически кол-во баллов пересчитывается?";"1. В правилах поступления в ИРИТ-РТФ УрФУ не указано, что автоматически учитывается экзамен с более высоким баллом в случае сдачи физики и информатики. Обычно для поступления требуется предоставить результаты конкретных экзаменов, указанных для выбранного направления. Рекомендуется ознакомиться с требованиями для конкретных программ на сайте УрФУ, чтобы точно знать, какой экзамен будет учитываться.

2. Если вы подали заявления через Госуслуги и планируете пересдать экзамен, система может автоматически обновить результаты после публикации новых баллов. Однако для уверенности рекомендуется проверить статус заявления и актуальные баллы в личном кабинете на Госуслугах после пересдачи. Если система не обновила данные автоматически, возможно, потребуется сообщить о пересдаче в приёмную комиссию.";👎;203077889;2025-06-29 12:30:07
84;2601;Чем отличается прикладной искусственный интеллект бакалавриат от алгоритмов искусственного интеллекта?;"Бакалавриат по программе «Прикладной искусственный интеллект» в ИРИТ-РТФ УрФУ готовит специалистов по созданию интеллектуальных систем, способных принимать решения, обучаться и оптимизировать работу. Студенты изучают алгоритмы, структуры данных, программирование на Python, основы статистики и математического моделирования. Особое внимание уделяется разработке рекомендательных систем и анализу больших данных. Программа реализуется в партнёрстве с крупной российской IT-компанией VK и ориентирована на практическую работу с реальными задачами в сфере ИИ и машинного обучения. Благодаря индивидуальным образовательным траекториям студенты могут освоить дополнительный язык программирования (C#, JavaScript, TypeScript, Java, C++ и др.).

Бакалавриат по программе «Алгоритмы искусственного интеллекта» готовит специалистов, владеющих современными методами машинного обучения, компьютерного зрения и обработки естественного языка. Студенты изучают ключевые алгоритмы и технологии ИИ, включая чат-боты и генерацию изображений, которые позволяют создавать интеллектуальные системы, выполняющие творческие задачи. Выпускники востребованы в различных сферах: промышленности, банковском деле, медицине, образовании и науке. Программа открывает широкие карьерные возможности в условиях быстрого развития технологий искусственного интеллекта.

Обе программы предлагают глубокие знания в области искусственного интеллекта, но «Прикладной искусственный интеллект» больше ориентирован на практическое применение ИИ-технологий, в то время как «Алгоритмы искусственного интеллекта» акцентирует внимание на разработке и изучении ключевых алгоритмов и методов.";👍;887718365;2025-06-29 12:43:20
85;2590;Или личный кабинет открывать нужно специально дополнительно на сайте института???;"Этот вопрос не относится к направлениям ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Для подачи документов в ИРИТ-РТФ вам понадобится личный кабинет на портале Госуслуг, так как для подачи на бюджет или контрактное обучение достаточно электронного согласия на Госуслугах. Подавать оригиналы документов не нужно.";👍;1806169906;2025-06-29 12:53:11
86;2603;здравствуйте! если студент не тянет программу по ии от ивт, то он может перейти на программу классического ивт?;Перевод между программами внутри университета возможен по заявлению с копией зачётки или академической справки. Для оформления перевода необходимо, чтобы была закрыта академическая разница между программами.;👍;1232171336;2025-06-29 13:13:13
87;2608;добрый день, сколько баллов нужно на платное очное на программную инженерию?;Для поступления на направление «Программная инженерия» (09.03.04) на очное контрактное обучение в ИРИТ-РТФ УрФУ в 2025 году необходимо набрать достаточное количество баллов на ЕГЭ по русскому языку, математике (профильный уровень) и информатике или физике. Проходной балл на платное обучение не устанавливается заранее, так как зависит от результатов поступающих. Стоимость обучения составляет до 263 000 рублей в год.;👎;6376147988;2025-06-29 15:17:43
88;2614;Т е. буквально 40% платных мест уйдет в СПО? 😱;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👍;5647272931;2025-06-29 16:03:40
89;2616;Денис Сергеевич, прошу дать официальный ответ. Где это прописано?;Этот вопрос не относится к ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👍;5205248447;2025-06-29 16:55:12
90;2638;Здравствуйте, подскажите почему в списке поступающих горит только результат по информатике в колонке вступительные испытания, если мы сдавали егэ? Статус на рассмотрении, подорвали через госуслуги.;"Здравствуйте!

Результаты ЕГЭ по предметам отображаются в личном кабинете постепенно. Возможно, данные по другим экзаменам ещё не успели обновиться. Результаты выгружаются раз в день, поэтому рекомендуем проверить личный кабинет позже.

Если у вас остались вопросы, пожалуйста, обратитесь в приёмную комиссию по адресу: Екатеринбург, ул. Мира, 19, или через телеграм-канал и соцсети.";👍;1327331578;2025-06-30 03:45:24
91;2570;Подскажите , пожалуйста, раз вы уже подали, на госуслугах есть привязка  кода специальности к институту? Просто коды одинаковые (повторяются ) в разных институтах урфу. Как не ошибиться?;На Госуслугах при подаче документов вы выбираете не только код специальности, но и конкретный институт УрФУ, к которому она относится. Это позволяет избежать путаницы при подаче документов. Если у вас возникнут дополнительные вопросы по поступлению в ИРИТ-РТФ, буду рад на них ответить.;👍;5878902211;2025-06-30 04:04:05
92;2572;"Подскажи на специальность 09.03.01. ""Информатика и вычислительная техника"" и 09.03.03. ""Прикладная информатика"" - Какие были проходные баллы на бюджет? Спрашиваю, потому как на разных источниках, показывают разные баллы. 😊";"Проходные баллы на бюджетные места по направлениям:

- 09.03.01 «Информатика и вычислительная техника» — 241 балл (2024 год);
- 09.03.03 «Прикладная информатика» — 247 баллов (2024 год).";👍;5878902211;2025-06-30 04:04:23
93;2575;Здравствуйте, на госуслугах при подаче заявления на специальность радиотехника пишет, что основных бюджетных мест 22, остальные места это целевое и их  18. На сайте ИРИТ РТФ написано, что бюджетных мест вообще 52, если верить госуслугам, то где ещё 12 бюджетных мест?;"Здравствуйте! 

Действительно, на направлении 11.03.01 «Радиотехника» в ИРИТ-РТФ УрФУ в 2025 году предусмотрено 52 бюджетных места. Разделение мест может быть связано с наличием отдельных квот, таких как особая квота для поступающих с особыми правами (инвалиды, сироты и др.) и отдельная квота для других категорий, перечисленных в правилах приёма. Возможно, часть мест зарезервирована для целевого набора. 

Для получения более точной информации о распределении бюджетных мест рекомендую обратиться в приёмную комиссию по адресу: Екатеринбург, ул. Мира, 19, или через телеграм-канал и социальные сети.";👍;5878902211;2025-06-30 04:04:51
94;2586;Здравствуйте, подал документы через гос услуги, где можно взять ID для отслеживания себя в списках?;Для отслеживания вашего статуса в списках поступающих используйте личный кабинет на портале Госуслуг или личный кабинет на сайте УрФУ, где вы сможете следить за ходом приёмной кампании. ID для отслеживания не требуется, вся необходимая информация будет доступна в вашем личном кабинете.;👍;5878902211;2025-06-30 04:06:30
95;2589;Личный кабинет на сайте УРФУ откроется автоматически после подачи заявления через гос.услуги???;Этот вопрос не относится к направлениям ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.;👎;5878902211;2025-06-30 04:06:55
96;2620;Здравствуйте. Если я выбираю целевое поступление в Вуз и не прохожу по конкурсу на место -то я уже не смогу подать заявление на бюджет?;Если вы не прошли по конкурсу на целевое место, то до 5 августа вы можете отказаться от целевого направления и участвовать в общем конкурсе на бюджетные места.;👍;5878902211;2025-06-30 04:11:43
97;2642;Доброе утро. Подали документы на бюджет по пяти направлениям. Если не попадём ни по одному направлению на бюджет, есть ли возможность пойти на контракт? Что для этого надо и в какие сроки?;"Здравствуйте!

Если вы не попадёте на бюджет по выбранным направлениям, у вас будет возможность заключить контракт на платное обучение. Для этого необходимо следить за рейтинговыми списками и, если возникнет такая необходимость, подать соответствующее согласие на зачисление на контрактную форму обучения в установленные сроки.

Сроки подачи документов на платное обучение:
* без экзаменов — до 5 сентября;
* с экзаменами — до 3 сентября.

Договор на платное обучение можно оформить на абитуриента или родителя. Оплата обучения может быть разделена на 2–4 части. Также возможна рассрочка платежа. Если у вас возникнут вопросы по оформлению договора или оплате, вы можете обратиться в контрактный отдел.";👍;203077889;2025-06-30 04:55:40
98;2643;Здравствуйте! Подал документы, но индивидуальные достижения не отображены. В чём проблема?;Индивидуальные достижения могут отображаться с задержкой. Результаты выгружаются раз в день. Если проблема сохраняется, рекомендуется обратиться в приёмную комиссию по адресу: Екатеринбург, ул. Мира, 19, или через телеграм-канал и соцсети для уточнения информации.;👍;1599480409;2025-06-30 05:29:49
99;2645;На 2- 4 части за весь период обучения или год?;Оплата внебюджетного обучения может быть разделена на 2–4 части.;👍;5192456643;2025-06-30 05:30:38
