ID,Вопрос,Ответ
,"Можно ли пробовать поступить на бюджет по 09 направлениям, если у меня 214 баллов?","В прошлом году минимальный проходной балл на 09 направления был 239, у вас 214 баллов, поэтому у вас вряд ли получится попасть на бюджет

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
,С 214 баллами есть ли смысл подавать документы на бюджетное место по 09 направлениям?,"В прошлом году минимальный проходной балл на 09 направления был 239, у вас 214 баллов, поэтому у вас вряд ли получится попасть на бюджет

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
,Есть ли смысл подавать заявление на бюджетное обучение по 09 направлениям с баллами 214?,"В прошлом году минимальный проходной балл на 09 направления был 239, у вас 214 баллов, поэтому у вас вряд ли получится попасть на бюджет

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
,Каковы шансы пройти на бюджетное место по 09 направлениям с 214 баллами?,"В прошлом году минимальный проходной балл на 09 направления был 239, у вас 214 баллов, поэтому у вас вряд ли получится попасть на бюджет

Можете посмотреть проходные баллы за последние несколько лет https://priem-rtf.urfu.ru/ru/passing-points/"
30,"А можно где то посмотреть минимальные баллы контрактников, которые былы зачислены, прошлых лет?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Можно ли где-то посмотреть минимальные баллы контрактников, которые были зачислены в прошлые годы?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Есть ли информация о минимальных баллах поступивших на контракт в прошлые годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Где можно узнать минимальные баллы контрактников за предыдущие годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Можно ли найти данные о минимальных баллах зачисленных на контракт за прошлые годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Есть ли доступ к информации о минимальных баллах на контрактное обучение за предыдущие годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Где посмотреть минимальные баллы зачисленных на контракт в прошлых годах?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Можно ли найти данные о минимальных баллах контрактников за прошедшие годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Где можно узнать, какие минимальные баллы были у контрактников в прошлые годы?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Можно ли найти статистику минимальных баллов на контракт за предыдущие годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Доступна ли информация о минимальных баллах контрактников прошлых лет?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Как узнать минимальные баллы поступивших на контракт в предыдущие годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Можно ли посмотреть, какие были минимальные баллы у зачисленных на контракт в прошлые годы?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Есть ли возможность узнать минимальные баллы на контрактное обучение за предыдущие годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Где можно посмотреть минимальные баллы зачисленных на контрактное обучение в прошлые годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Можно ли узнать минимальные баллы, с которыми поступали на контракт за предыдущие годы?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Есть ли доступ к архиву минимальных баллов контрактников за прошлые годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Где можно посмотреть статистику минимальных баллов на контракт за прошлые годы?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Можно ли найти минимальные баллы контрактников, которые зачислялись в предыдущие годы?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Как узнать, какие минимальные баллы были у контрактников в прошлые годы?","До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Где посмотреть минимальные баллы зачисленных на контракт в предыдущих годах?,"До завершения приема документов берем на контракт желающих, статистика по контрактам не ведётся. Есть 4 программы, на которые от 170 на контракт, на остальные возможно с более низкими баллами.

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
31,"Беспокоюсь, что не хватит мест на контракт. У меня 219 баллов + участие в Изумруде.","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Будет ли достаточно 219 баллов и участие в Изумруде для поступления на контракт?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Могу ли я не попасть на контракт с 219 баллами и участием в Изумруде?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Хватит ли моих 219 баллов и участия в Изумруде для зачисления на контракт?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Достаточно ли 219 баллов и участия в Изумруде, чтобы пройти на контракт?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Могут ли не хватить мест на контракт с моими 219 баллами и участием в Изумруде?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Есть ли шансы попасть на контракт с 219 баллами и участием в Изумруде?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Каковы шансы поступить на контракт с 219 баллами плюс участие в Изумруде?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,219 баллов и участие в Изумруде – хватит ли для контракта?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Если у меня 219 баллов и участие в Изумруде, есть ли риск не попасть на контракт?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Учитывается ли участие в Изумруде при поступлении на контракт с 219 баллами?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Могу ли я рассчитывать на контракт с 219 баллами и участием в Изумруде?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Хватит ли моих 219 баллов и участия в Изумруде, если мест на контракт ограничено?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,219 баллов и участие в Изумруде – достаточно ли для зачисления на контракт?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Как влияет участие в Изумруде на поступление на контракт с 219 баллами?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Есть ли риск не попасть на контракт, если у меня 219 баллов и Изумруд?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Достаточно ли моих баллов и участия в Изумруде, если мест на контракт мало?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Могут ли быть проблемы с зачислением на контракт при 219 баллах и Изумруде?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,Как учитываются 219 баллов и участие в Изумруде для контракта?,"До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Могу ли я быть уверен, что поступлю на контракт с 219 баллами и Изумрудом?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
,"Если у меня 219 баллов плюс участие в Изумруде, попаду ли я на контракт?","До завершения приема документов берем на контракт желающих, поэтому вам точно хватит места. 

Точную информацию о платном обучении можно найти на сайте урфу в разделе ""Платные образовательные услуги"" https://urfu.ru/sveden/paidedu/"
32,"Звонят ли из приемной комиссии, чтобы сообщить о прохождении и запросить оригинал аттестата?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Нужно ли ожидать звонка от приемной комиссии или самостоятельно отвезти аттестат?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Будут ли из приемной комиссии просить привезти оригинал аттестата?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Должна ли приемная комиссия звонить и сообщать о необходимости оригинала аттестата?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Нужно ли отвозить оригинал аттестата заранее или ждать звонка комиссии?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Приемная комиссия уведомляет о прохождении и просит оригинал аттестата?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,"Как узнать, нужно ли привозить оригинал аттестата – ждать звонка или действовать самостоятельно?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Оповещает ли приемная комиссия о необходимости привоза оригинала аттестата?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,"Должен ли я ждать звонка приемной комиссии, чтобы привезти оригинал аттестата?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Нужно ли привозить оригинал аттестата самим или ждать уведомления от комиссии?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,"Сообщает ли приемная комиссия, что вы прошли, и просит привезти оригинал аттестата?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,"Если я прохожу, позвонят ли из приемной комиссии для получения оригинала аттестата?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Как поступить с оригиналом аттестата: дождаться звонка или везти заранее?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Будут ли из приемной комиссии звонить и уведомлять о необходимости оригинала аттестата?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Приемная комиссия оповещает о прохождении и необходимости привоза оригинала аттестата?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Стоит ли ждать звонка от приемной комиссии или везти оригинал аттестата без уведомления?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,"Как узнать, прошел ли я, и когда нужно привозить оригинал аттестата?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Звонят ли из приемной комиссии с информацией о зачислении и запросом на аттестат?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,Нужно ли самостоятельно отвозить оригинал аттестата или ждать указаний от комиссии?,"Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
,"Будут ли из приемной комиссии звонить, чтобы уведомить о необходимости привоза аттестата?","Нужно самим отслеживать ситуацию, обычно обзваниваем только высокобалльников, чтобы все остальные абитуриентв понимали какие у них шансы"
33,"Завершение приема документов 18.07 – это значит, что экзамен нужно сдать до этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Я должна успеть сдать экзамен до 18.07, если прием документов заканчивается тогда?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Если завершение приема документов 18.07, экзамен тоже нужно сдать до этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Экзамен нужно сдать до 18.07, если это последний день приема документов?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Значит ли завершение приема документов 18.07, что экзамен надо сдать до этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Если прием документов завершается 18.07, экзамены проходят до этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Последний день приема документов – 18.07, экзамен нужно сдать раньше?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Должна ли я сдать вступительный экзамен до 18.07, если это крайний срок документов?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Экзамены проводятся до завершения приема документов, то есть до 18.07?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Если прием документов заканчивается 18.07, экзамен проводится до этого дня?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Должна ли я закончить сдачу экзаменов до 18.07, если это крайний срок подачи документов?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Прием документов заканчивается 18.07, экзамен нужно сдать раньше этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Можно ли сдавать экзамен после 18.07, если это крайний срок подачи документов?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Значит ли завершение приема документов 18.07, что экзамен надо пройти до этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
,"Если я гражданин РК и подаю документы до 18.07, экзамен тоже сдаю до этой даты?","Нет, подача документов для поступающих по вступительным экзаменам до 18 июля, вступительные экзамены до 25 июля

Точную информацию о вступительных экзаменах можно найти на сайте урфу https://urfu.ru/ru/applicant/docs-abiturient/exams/"
